200.0 17880.0 	# Tmin, Tmax
12.0 2.20 35.0 	# average values for L1, L2, TWOTHETA
#
#   ############# POLARIS low angle detectors (S63>S142) ############## 
#
# Smoothed background spectrum (#17122) subtracted from summed sample data.
# Spectrum normalized by smoothed & corrected Vanadium spectrum (#17121)
#
# Detectors A8 and A50 are "dead" and are excluded from summation.
#
142  4.771 0.0 180.0 0 0.0
141  4.724 0.0 180.0 0 0.0
140  4.687 0.0 180.0 0 0.0
139  4.652 0 180.0 0 0
138  4.606 0 180.0 0 0
137  4.572 0 180.0 0 0
136  4.536 0 180.0 0 0
135  4.492 0 180.0 0 0
134  4.458 0 180.0 0 0
133  4.425 0 180.0 0 0
132  4.380 0 180.0 0 0
131  4.347 0 180.0 0 0
130  4.315 0 180 0 0
129  4.271 0 180.0 0 0
128  4.240 0 180.0 0 0
127  4.209 0 180.0 0 0
126  4.166 0 180.0 0 0
125  4.136 0 180.0 0 0
124  4.105 0 180.0 0 0
123  4.064 0 180.0 0 0
122  4.034 0 180.0 0 0
121  4.006 0 180.0 0 0
120  3.966 0 180.0 0 0
119  3.938 0 180 0 0
118  3.910 0 180.0 0 0
117  3.871 0 180.0 0 0
116  3.844 0 180.0 0 0
115  3.817 0 180.0 0 0
114  3.780 0 180.0 0 0
113  3.753 0 180.0 0 0
#112 3.710 0 180.0 0 0
111  3.691 0 180.0 0 0
110  3.666 0 180.0 0 0
109  3.641 0 180.0 0 0
108  3.605 0 180 0 0
107  3.580 0 180.0 0 0
106  3.556 0 180.0 0 0
105  3.520 0 180.0 0 0
104  3.497 0 180.0 0 0
103  3.475 0 180.0 0 0
102  4.787 0 180.0 0 0
101  4.740 0 180.0 0 0
100  4.703 0 180.0 0 0
99   4.669 0 180.0 0 0
98   4.622 0 180.0 0 0
97   4.588 0 180 0 0
96   4.552 0 180.0 0 0
95   4.508 0 180.0 0 0
94   4.474 0 180.0 0 0
93   4.440 0 180.0 0 0
92   4.395 0 180.0 0 0
91   4.362 0 180.0 0 0
90   4.330 0 180.0 0 0
89   4.286 0 180.0 0 0
88   4.269 0 180.0 0 0
87   4.224 0 180.0 0 0
86   4.181 0 180 0 0
85   4.150 0 180.0 0 0
84   4.121 0 180.0 0 0
83   4.079 0 180.0 0 0
82   4.050 0 180.0 0 0
81   4.020 0 180.0 0 0
80   3.980 0 180.0 0 0
79   3.952 0 180.0 0 0
78   3.924 0 180.0 0 0
77   3.885 0 180.0 0 0
76   3.857 0 180.0 0 0
75   3.844 0 180 0 0
74   3.792 0 180.0 0 0
73   3.766 0 180.0 0 0
72   3.740 0 180.0 0 0
71   3.703 0 180.0 0 0
#70  3.680 0 180.0 0 0
69   3.668 0 180.0 0 0
68   3.615 0 180.0 0 0
67   3.591 0 180.0 0 0
66   3.581 0 180.0 0 0
65   3.547 0 180.0 0 0
64   3.522 0 180 0 0
63   3.489 0 180 0 0
